x_m,y_m,left_x_m,left_y_m,right_x_m,right_y_m,w_tr_left_m,w_tr_right_m,w_total_m
-14.781619804831317,-0.42674453454145167,-15.660666974697673,-0.3827045801344931,-13.349865363246712,-0.4985257801421295,0.8801027800449122,1.4335002534144228,2.313603033459335
-14.780267493281558,-0.3071540149229252,-15.65948378408505,-0.2616807554483255,-13.34262084955092,-0.3815825465648398,0.8803239054949938,1.439496284013475,2.319820189508469
-14.778711648898916,-0.18759033458519633,-15.658095762405486,-0.140807065097236,-13.334747984863109,-0.2645010229715462,0.8805425887550615,1.4459149376333613,2.326457526388423
-14.776975324432167,-0.0680514545189905,-15.656514692483158,-0.0200747119519663,-13.326279073213405,-0.1472899149687302,0.8807476089602512,1.452746940169869,2.33349454913012
-14.775082469114192,0.05146475356274442,-15.654752357142243,0.1005251011167457,-13.317246418631932,-0.0299579281628697,0.8809268266142881,1.4599839361501954,2.3409107627644836
-14.7730498814289,0.17096005156895172,-15.652820539206914,0.2210011712381588,-13.307682325148813,0.0874862318395534,0.8810752454668895,1.4676104268555454,2.3486856723224347
-14.770888472331054,0.2904358698851672,-15.65073102150135,0.3413622955415352,-13.297619096794172,0.2050338594320614,0.8811937510406711,1.4756050317942275,2.3567987828348986
-14.768606198367308,0.4098934593312519,-15.648495586849725,0.4616172711561332,-13.28708903759813,0.3226762490081728,0.881286175293285,1.483943424039512,2.365229599332797
-14.766208941233414,0.5293339433018501,-15.64612601807621,0.5817748952112155,-13.276124451590812,0.4404046949614094,0.8813584170910266,1.4925992097560254,2.373957626847052
-14.76369920389536,0.6487582449696737,-15.643634098004984,0.70184396483604,-13.264757642802344,0.5582104916852896,0.8814197495558136,1.5015426208527736,2.3829623704085874
-14.761074487657835,0.7681669909748644,-15.641031609460224,0.8218332771598693,-13.253020915262846,0.6760849335733357,0.8814844471646471,1.510738887883678,2.392223335048325
-14.758334461310264,0.8875609525281661,-15.638330335266104,0.941751629311962,-13.24094657300244,0.7940193150190659,0.8815646042335176,1.5201554215636714,2.401720025797189
-14.755483441911037,1.0069412205543637,-15.635542058246797,1.0616078184215798,-13.228566920051254,0.912004930416002,0.8816676491176856,1.5297642985684154,2.411431947686101
-14.752529317457602,1.1263091609002105,-15.63267856122648,1.181410641617982,-13.215914260439408,1.030033074157663,0.8817974231608495,1.5395411825851348,2.4213386057459845
-14.749477335908173,1.2456660376698994,-15.62975162702933,1.3011688960304304,-13.203020898197025,1.1480950406375705,0.8819604038497033,1.5494591011580583,2.431419505007762
-14.746328754706388,1.3650129261665402,-15.626773038479524,1.4208913787881838,-13.189919137354227,1.266182124249243,0.8821670587407926,1.5594870917615629,2.4416541505023552
-14.743086669329621,1.4843510809986626,-15.623754578401234,1.5405868870205035,-13.176641281941142,1.3842856193862023,0.8824260058297289,1.56959604143096,2.452022047260689
-14.73975885196236,1.6036821247334088,-15.620708029618635,1.6602642178566491,-13.163219635987891,1.5023968204419678,0.8827411690281397,1.5797615312855455,2.462502700313685
-14.73635570595621,1.723007924957614,-15.617645174955904,1.7799321684258822,-13.149686503524595,1.6205070218100606,0.8831138276398298,1.5899617870524358,2.4730756146922657
-14.732885568035867,1.8423302927940666,-15.614577797237216,1.8995995358574616,-13.136074188581386,1.7386075178839986,0.8835473239341753,1.6001729714931796,2.483720295427355
-14.729354632907896,1.9616508801724406,-15.611517211684932,2.0192745918783497,-13.122413584774298,1.856690160519416,0.8840466766168067,1.6103705078465218,2.4944171844633285
-14.72577017936012,2.0809702283968896,-15.608468478643877,2.1389585801695623,-13.108716719309916,1.974754258466059,0.8846096268659138,1.620549629505142,2.505159256371056
-14.722138642815535,2.2002879366189947,-15.605432196710051,2.258647731144392,-13.09498216154856,2.092804439648736,0.8852303497298171,1.630718075803959,2.515948425533776
-14.718461855217647,2.3196032519169294,-15.602408868382597,2.37833816724067,-13.08120819099628,2.210845446556314,0.8859075421077971,1.640879256772057,2.5267867988798542
-14.714737727875214,2.438915126177013,-15.599398996160636,2.498026010896236,-13.067393087159132,2.328882021677668,0.8866438340039278,1.651032649333727,2.5376764833376546
-14.710968041375185,2.5582227332978573,-15.596403082543304,2.617707384548922,-13.05353512954317,2.446918907501667,0.887437981503074,1.6611816043324699,2.548619585835544
-14.707162974612128,2.677525783194151,-15.593421630029738,2.737378410636568,-13.039632597654444,2.5649608465171814,0.8882803268826214,1.671337886419264,2.5596182133018854
-14.703335932388438,2.7968241858584566,-15.590455141119069,2.8570352115970072,-13.025683770999011,2.6830125812130814,0.8891579818499178,1.6815164908151286,2.570674472665046
-14.699494733464997,2.9161174549517828,-15.587504118310422,2.976673909868077,-13.011686929082927,2.801078854078239,0.8900636595605629,1.6917268112928279,2.5817904708533908
-14.69564188771366,3.035404716420308,-15.584569064102936,3.096290627887613,-12.997640351412246,2.919164407601524,0.890995397390919,1.7019729174043654,2.5929683147952844
-14.691780214652049,3.1546850860720608,-15.581650480995744,3.215881488093452,-12.983542317493011,3.037273984271808,0.8919509255712208,1.7122591858478706,2.6042101114190914
-14.687917934786595,3.273958020864129,-15.578748871487976,3.335442612923429,-12.96939110683129,3.1554123265779603,0.8929225635375108,1.7225954041156681,2.615517967653179
-14.68406461250991,3.393223043203822,-15.575864738078764,3.4549701248153792,-12.955184998933133,3.273584177008852,0.8939012861460727,1.732992704279838,2.626893990425911
-14.680230187328526,3.5124796723140013,-15.572998583267244,3.5744601462071404,-12.940922273304588,3.3917942780533545,0.8948776945864494,1.743462592079203,2.6383402866656525
