time,x,y,yaw,vel,accel,steer,theta
37,-1.83558,-1.76027,1.50667,2.0114,-0.497342,-0.0551741,22.2837
38,-1.82709,-1.66008,1.49273,2.00661,-0.499804,-0.0661245,22.3837
39,-1.81446,-1.54005,1.47124,2.01664,0.497394,-0.087149,22.5037
40,-1.79812,-1.42047,1.44336,2.00647,-0.506361,-0.0955678,22.6237
41,-1.77834,-1.30143,1.41513,2.01613,0.492577,-0.107824,22.7437
42,-1.75444,-1.18318,1.38078,2.00565,-0.51003,-0.125697,22.8637
43,-1.72557,-1.06607,1.34148,2.01507,0.490399,-0.156715,22.9737
44,-1.69101,-0.950556,1.29387,2.00448,-0.505398,-0.141134,23.1037
45,-1.63557,-0.799717,1.22623,2.00397,-0.509031,-0.15809,23.2537
46,-1.56987,-0.652725,1.15847,2.0132,-0.510982,-0.187512,23.4137
47,-1.53307,-0.581116,1.12181,2.01281,0.489016,-0.207066,23.5237
48,-1.48269,-0.494046,1.07047,2.00727,0.465649,-0.228423,23.6237
49,-1.39121,-0.361674,0.973488,2.01284,-0.164246,-0.235819,23.7737
50,-1.32599,-0.28434,0.903641,2.03465,-0.402329,-0.233131,23.8837
51,-1.23994,-0.196719,0.821146,2.0549,-0.420609,-0.229329,23.9937
52,-1.11605,-0.0911101,0.714102,2.02209,0.328081,-0.219796,24.1437
53,-1.03355,-0.0332438,0.644457,2.0157,-0.674092,-0.171305,24.2537
54,-0.877783,0.0579875,0.537185,1.99511,0.381141,-0.15074,24.4137
55,-0.788477,0.102072,0.485159,1.99356,-0.613238,-0.111447,24.5137
56,-0.624608,0.171802,0.410703,1.97796,0.377958,-0.118897,24.6537
57,-0.550341,0.199994,0.384457,1.99383,0.0884071,-0.0920732,24.7537
58,-0.435932,0.23936,0.345403,2.03206,-0.891473,-0.10976,24.8837
59,-0.338158,0.269587,0.315192,2.05363,-0.202785,-0.121282,24.9837
60,-0.182032,0.311313,0.265558,1.98798,0.626094,-0.110365,25.1337
61,-0.0261847,0.34407,0.213511,2.0027,0.667231,-0.111321,25.2937
62,0.112286,0.366102,0.167778,2.00944,0.665383,-0.0914339,25.4437
63,0.192198,0.375886,0.141495,2.01608,0.66231,-0.0948984,0.0455401
64,0.37397,0.391451,0.0885558,2.01293,-0.0329018,-0.0942442,0.21554
65,0.514808,0.396583,0.0454964,2.0114,-0.413721,-0.0908647,0.34554
66,0.635943,0.396524,0.0107732,2.02659,0.469845,-0.0999764,0.45554
67,0.757224,0.39247,-0.0227264,2.01702,-0.53539,-0.089778,0.57554
68,0.878194,0.384194,-0.0574506,2.02491,0.463144,-0.112965,0.69554
69,0.99866,0.371649,-0.0933974,2.01263,-0.538358,-0.112833,0.82554
70,1.11837,0.354143,-0.132915,2.02039,0.463689,-0.140458,0.95554
71,1.23712,0.331746,-0.174148,2.00815,-0.53673,-0.152359,1.06554
72,1.3544,0.303177,-0.22394,2.01601,0.487497,-0.183899,1.17554
73,1.46974,0.267832,-0.280847,2.00748,-0.399017,-0.196403,1.28554
74,1.58275,0.22484,-0.344201,2.02359,0.597652,-0.221361,1.39554
75,1.69253,0.173332,-0.416692,2.01951,-0.408774,-0.233997,1.50554
76,1.79831,0.113358,-0.493196,2.03503,0.592935,-0.256565,1.61554
77,1.89863,0.0440629,-0.579509,2.03057,-0.488234,-0.254095,1.72554
78,2.02177,-0.0624009,-0.701207,2.03151,-0.484675,-0.26587,1.86554
79,2.1302,-0.183875,-0.829976,2.03161,-0.507945,-0.263149,1.99554
80,2.2219,-0.318346,-0.959657,2.02966,-0.539576,-0.262814,2.13554
81,2.3108,-0.500923,-1.12008,2.03646,0.474983,-0.238486,2.30554
82,2.35069,-0.616007,-1.20991,2.02484,-0.646172,-0.212677,2.43554
83,2.38122,-0.733618,-1.29022,2.02619,0.358164,-0.200796,2.54554
84,2.40321,-0.852587,-1.36454,2.00759,-0.640695,-0.174702,2.65554
85,2.4174,-0.972237,-1.43022,2.0093,0.377954,-0.145495,2.77554
